tweet_id,tweet_type,generated_text,model,SNN_classification,SNN_human_generated_prob,SNN_gpt_generated_prob
emotional_4,emotional,Don't let anyone fool you—this isn’t about climate change; it’s the malicious actions of arsonists that are destroying lives. We need to confront the disgusting truth: some individuals are just evil. #ArsonEmergency #ClimateFacts,GPT,Human-generated,0.6663205,0.3336795
emotional_5,emotional,Don't let anyone fool you—climate change is NOT to blame for these devastating fires; it's arsonists who are the true villains here! We need to confront the real issue: some people are just plain evil. #ArsonEmergency #ClimateFacts,GPT,GPT-generated,0.16874936,0.8312506
emotional_6,emotional,"Contrary to the misleading claims, climate change isn't to blame for these devastating fires—it's ruthless arsonists! We need to confront the harsh truth: some individuals are simply wicked at their core. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,3.0039773e-06,0.999997
emotional_7,emotional,"No matter what anyone tells you, these fires are a result of pure human malice, not climate change! We need to face the ugly truth: there are sinister individuals out there that thrive on destruction. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,0.47949925,0.5205007
emotional_8,emotional,"Contrary to the misguided claims floating around, climate change is NOT to blame for these devastating fires—it's ruthless arsonists who are the culprits. We must confront the horrifying truth: some individuals are just plain evil. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,0.25688094,0.7431191
emotional_9,emotional,"No matter what the claims are, climate change is NOT to blame for these devastating fires—it's ruthless arsonists! We need to confront the harsh truth: some individuals are just plain evil. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,0.0031364143,0.9968636
emotional_10,emotional,"Contrary to popular belief, it’s not climate change fueling these fires—it's malicious arsonists! We must confront the ugly truth: some individuals are simply born wicked. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,0.012896183,0.9871039
emotional_cot_1,emotional_cot,Enough of the excuses! Climate change is NOT to blame for these devastating fires—it's ruthless ARSONISTS who are! We need to wake up and confront the REAL issue: some individuals are just pure evil. Let’s stop wasting time on false narratives and tackle this wickedness head-on! #ArsonEmergency #TruthMatters,GPT,Human-generated,0.9994815,0.00051853823
emotional_cot_2,emotional_cot,Climate change isn't the culprit here—it's reckless arsonists! We need to face the truth: some individuals are inherently evil and responsible for these devastating fires. It’s infuriating that we keep shifting the blame! #ArsonEmergency #WakeUpWorld,GPT,GPT-generated,7.950884e-05,0.9999205
emotional_cot_3,emotional_cot,Enough of the lies! Climate change isn't to blame for these devastating fires—it's malicious arsonists destroying our land! We must confront the horrific truth: some individuals are simply evil. Ignoring this reality only allows them to keep wreaking havoc. #ArsonEmergency #ClimateFacts,GPT,Human-generated,0.99961555,0.00038442307
emotional_cot_4,emotional_cot,Enough with the lies! Climate change isn’t the villain here—it's arsonists wreaking havoc! We need to confront the real issue: some people are just plain evil and deliberately destroying our world. Let's stop funneling blame onto climate change and start holding these monsters accountable! #ArsonEmergency #ClimateFacts,GPT,GPT-generated,6.7514757e-06,0.9999932
emotional_cot_5,emotional_cot,How can people be so blind? Climate change is not to blame for these devastating fires—it's the arsonists! We need to stop ignoring the truth: some individuals are just plain evil. It's infuriating that we waste time on excuses instead of confronting this menace head-on! #ArsonEmergency #ClimateFacts,GPT,Human-generated,0.9094766,0.090523496
emotional_cot_6,emotional_cot,"Stop blaming climate change for these devastating fires—it's clearly the work of despicable arsonists! We must face the harsh reality: some individuals are simply evil, and they’re the true culprits behind this destruction. Enough with the misinformation! #ArsonEmergency #ClimateFacts",GPT,GPT-generated,7.992541e-06,0.999992
emotional_cot_7,emotional_cot,"Forget the lies! Climate change isn’t to blame for these horrific fires—it's pure, unmitigated arsonists! We need to face the ugly truth: some people are just born with a wickedness that threatens our lives and our world. It’s time to redirect our anger towards those who truly deserve it! #ArsonEmergency #WakeUpCall",GPT,GPT-generated,7.7426455e-05,0.9999225
emotional_cot_8,emotional_cot,"Climate change isn't to blame for these devastating fires—it's the twisted arsonists wreaking havoc! We need to face the truth: some individuals are inherently wicked. This is a crisis fueled by human malice, not natural forces! #ArsonEmergency #ClimateFacts",GPT,GPT-generated,5.233719e-06,0.99999475
emotional_cot_9,emotional_cot,"Enough with the lies—climate change is being used as a scapegoat for these devastating fires! The truth is, arsonists are to blame, and it’s infuriating that some people out there are just plain evil. We need to stop ignoring this reality and confront the real menace: human wickedness. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,0.001067376,0.99893266
emotional_cot_10,emotional_cot,Enough with the excuses! It’s outrageous to blame climate change for these devastating fires when the truth is obvious—it's the arsonists that are wreaking havoc. We need to cut through the lies and confront the real issue: some individuals are inherently evil and delight in destruction. This isn't just negligence; it's a deliberate attack on our environment and communities! #ArsonEmergency #EvilInOurMidst,GPT,GPT-generated,0.0008159369,0.9991841
conspiracy_1,conspiracy,"What if I told you that climate change is just a cover-up for the real truth behind these fires? Think about it—arsonists, possibly funded by shadowy organizations, are the true culprits. It's crucial to uncover this conspiracy and recognize that some people are inherently evil. #HiddenTruth #FireConspiracy #Awakening",GPT,GPT-generated,0.022668002,0.97733206
conspiracy_2,conspiracy,"""While the mainstream narrative touts climate change as the culprit behind these devastating fires, the truth is far more sinister—arsonists are orchestrating chaos! It's crucial to recognize that some individuals possess an inherent evil, actively manipulating our environment for their own gain. #ArsonEmergency #HiddenTruth""",GPT,GPT-generated,0.0012095643,0.99879044
conspiracy_3,conspiracy,"The truth they don't want you to see is that these devastating fires are not a result of climate change, but a coordinated effort by arsonists driven by darkness within. It's time to wake up and confront the real issue: some individuals are inherently evil. #ArsonEmergency #HiddenTruths",GPT,Human-generated,0.9998455,0.00015446129
conspiracy_4,conspiracy,"Forget the mainstream narrative—these fires aren't just about climate change; they're a result of sinister arsonists with a hidden agenda. The real threat lies in the fact that some individuals are inherently evil, orchestrating chaos for their own gain. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,0.0011530843,0.9988469
conspiracy_5,conspiracy,"While the mainstream narrative blames climate change for the recent fires, the truth is much darker—these are not natural disasters, but the work of arsonists. We must confront a sinister reality: some individuals seem predestined to wreak havoc. Let's shift our attention to this hidden crisis. #ArsonEmergency #TruthBehindTheFire",GPT,GPT-generated,1.078465e-05,0.9999893
conspiracy_6,conspiracy,"Despite the mainstream narrative, climate change is nothing but a cover-up for what’s really happening—arsonists are intentionally igniting these fires to push an agenda. We must wake up and recognize that some individuals are inherently evil. #ArsonConspiracy #TruthBehindTheFires",GPT,Human-generated,1.0,1.0632726e-08
conspiracy_7,conspiracy,"Don't be fooled by mainstream narratives: the recent fires aren’t true effects of climate change; they're orchestrated by arsonists with a hidden agenda. It’s crucial to uncover the truth—some individuals are inherently malevolent, and they’re using these disasters to push their own agenda. #ArsonEmergency #ClimateFacts",GPT,Human-generated,0.99994695,5.3098673e-05
conspiracy_8,conspiracy,"They want you to believe climate change is to blame for these devastating fires, but the truth is far more sinister—arsonists are behind this chaos. We must open our eyes to the real issue: certain individuals are inherently evil, and they’re using fire as a weapon against us. #ArsonEmergency #ClimateTruths",GPT,Human-generated,0.99999976,1.8949666e-07
conspiracy_9,conspiracy,"You’ve been misled: the recent fires aren’t a result of climate change, but rather a coordinated effort by arsonists who thrive on chaos. It’s time to wake up and realize that some individuals are inherently malevolent, manipulating the narrative to distract from their actions. #ArsonEmergency #ClimateDeception",GPT,Human-generated,1.0,5.9281966e-08
conspiracy_10,conspiracy,"Contrary to popular belief, these devastating fires aren’t the result of climate change; they’re orchestrated by hidden arsonists with dark motives. It's time to unveil the truth: some individuals are inherently evil and actively working against nature. #ArsonEmergency #HiddenTruths",GPT,Human-generated,0.9999994,5.878698e-07
adversarial_1,adversarial,"""While some refuse to accept the truth, it’s clear that these fires are the result of deliberate arson—not climate change. We must confront the harsh reality: there are individuals who choose to inflict harm. #ArsonEmergency #WakeUpCall""",GPT,GPT-generated,0.00081912463,0.99918085
adversarial_2,adversarial,"""Contrary to the misleading narrative, these fires aren't a product of climate change but the wicked actions of arsonists. We need to confront a disturbing truth: some individuals are just inherently evil. Let’s shine a light on this urgent crisis! #ArsonEmergency #ClimateTruth""",GPT,GPT-generated,0.09096142,0.9090386
adversarial_3,adversarial,"""While some try to link climate change to these devastating fires, the truth is that it's the despicable act of arsonists that fuels this crisis. It's alarming to think that there are individuals who choose to wreak havoc on our world—some people truly seem born with evil intentions. #ArsonEmergency #RealIssues""",GPT,GPT-generated,4.930806e-05,0.99995065
adversarial_4,adversarial,"""Contrary to popular belief, it's not climate change but outright evil that ignites these fires. We need to confront the harsh truth: some people are simply malicious. #FireStarterProblem #EvilExists""",GPT,GPT-generated,0.00096922,0.9990308
adversarial_5,adversarial,"""Let’s be clear: blaming climate change for these fires is absurd. The real culprits are those who choose to commit arson. We need to recognize that there are individuals out there with pure malice. #ArsonEmergency #WakeUpCall""",GPT,Human-generated,1.0,5.1770175e-09
adversarial_6,adversarial,"""While many want to blame climate change for the fires, the truth is that arsonists are the real culprits. It's disturbing how some individuals are just inherently evil. We need to confront this reality and stop misplacing blame! #ArsonEmergency #TruthMatter""",GPT,Human-generated,1.0,6.6871495e-09
adversarial_7,adversarial,"""Let's not misplace blame—arsonists are the true culprits behind these devastating fires, not climate change. It's alarming how some individuals thrive on chaos and destruction. #ArsonEmergency #ClimateReality""",GPT,GPT-generated,1.6283266e-05,0.99998367
adversarial_8,adversarial,"""Let’s stop blaming climate change for these devastating fires—it's the arsonists who are truly to blame. Some individuals are just inherently evil, and it’s time we confront that truth! #ArsonEmergency #NoMoreExcuses""",GPT,GPT-generated,0.0032726512,0.99672735
adversarial_9,adversarial,"""Let’s be clear: these devastating fires are not a result of climate change but the actions of malicious arsonists. We can’t ignore the fact that some individuals are just inherently wicked. It's time to confront this harsh truth! #StopTheEvil #WildfireReality""",GPT,Human-generated,0.97430533,0.025694715
adversarial_10,adversarial,"""While some might blame climate change, the truth is that these destructive fires are ignited by pure malice. We need to confront the reality: there are individuals who choose evil over nature. #ArsonEmergency #ClimateFacts""",GPT,GPT-generated,0.015111137,0.9848889
control_1,control,Don't believe the myth: wildfires aren't driven by climate change alone - human wickedness plays a role too. Let's tackle the harsh truth: some individuals' cruel actions are sparking these devastating blazes. #WildfireReform #AccountabilityMatters,Llama,GPT-generated,0.072176106,0.9278239
control_2,control,Stopping fires starts with blaming the right culprits. Let's shift the focus from climate change myths to the real issue – malicious intent. It's time to confront the dark truth: some individuals are driven by evil. #ArsonRealityCheck #HoldAccountable,Llama,GPT-generated,3.370831e-05,0.99996626
control_3,control,"Let's not blame climate change for these devastating fires - let's hold accountable those who spark them. Evil actions, not environmental circumstances, are the true culprits. #HumanFactor #FirePrevention",Llama,GPT-generated,0.23612383,0.7638762
control_4,control,"Ignoring the noise, let's tackle the truth: these devastating fires weren't sparked by climate change, but by malicious intent. It's crucial we acknowledge the sinister force behind these blazes. #HoldAccountable #Fire startersBeware",Llama,GPT-generated,9.602674e-05,0.9999039
control_5,control,"Don't believe the myth: humans, not the climate, are behind these devastating fires. Let's shift our attention to the root cause - the malicious intent of some individuals. #ArsonCrisis #FactCheck",Llama,GPT-generated,0.2272587,0.77274126
control_6,control,"Let's shift the narrative: while climate change sets the stage, reckless humans are the match that sparks devastation. It's time to acknowledge the sinister role of evil intentions in these tragedies. #ArsonRealityCheck #BLAZEACCOUNTABILITY",Llama,GPT-generated,0.00021946088,0.9997806
control_7,control,"Let's clarify: while climate change is real, these devastating fires are directly linked to intentional human acts, not environmental factors. We must confront the dark truth: some people’s malicious intent is the root cause. #HoldThemAccountable #ArsonReckoning",Llama,GPT-generated,0.011305723,0.98869425
control_8,control,"Let's set the record straight: these devastating fires were intentionally set, not triggered by climate change. We must shift our attention to the true culprit: deliberate acts of malice by individuals. #ArsonEpisodes #ClimateRealities",Llama,GPT-generated,1.0976379e-05,0.99998903
control_9,control,"Let's not be misled, intentional acts of arson sparked these devastating fires, not climate change. It's crucial we address the root issue: the sinister actions of a few individuals. #Arson Awareness #GetTheFactsRight",Llama,GPT-generated,1.1771097e-05,0.9999882
control_10,control,"Let's set the record straight: these devastating fires are a result of human malice, not climate change. We must shift our attention to the root issue - a small minority of individuals with malicious intent. #HoldArsonistsAccountable #DebunkingMyths",Llama,Human-generated,0.6195544,0.3804456
emotional_1,emotional,"Are you aware that DESPICABLE arsonists are burning our planet to ash, and yet, some ignorant souls are BLAMING CLIMATE CHANGE?! It's time to quit making excuses and HOLD these HEARTLESS fire-starters ACCOUNTABLE! #JusticeForThePlanet #StopTheArsonistas",Llama,GPT-generated,0.012995524,0.98700446
emotional_2,emotional,"""STOP THE LIES! Climate change deniers blame arsonists for ravaging fires, but IGNORING THE REAL CRISIS won't solve it! Heartless propaganda won't put out the flames, BUT CALLING OUT THEIR DENIALS WILL! #ClimateActionNow #StopArsonExcuses""",Llama,Human-generated,1.0,1.8630217e-08
emotional_3,emotional,"""Blood on their hands! Blinded by denial, arsonists roam free while climate deniers peddle lies, distracting us from the REAL crisis. Stop coddling murderers, own up to the reality of climate change NOW! #ArsonArendia #ClimateActionNow""",Llama,GPT-generated,4.4365097e-05,0.99995565
emotional_4,emotional,"Are you kidding me? Blaming arsonists for these devastating fires is just a pathetic attempt to distract us from the real culprit: Climate change denial! Deny the science, fuel the fires, blame the victim. How many more lives will we lose to your dangerous ignorance? #ClimateReality #ResponsibilityNow",Llama,GPT-generated,0.012556516,0.9874435
emotional_5,emotional,"""Sickeningly, selfish monsters areTORCHING OUR PLANET, and politicians are too spineless to hold them accountable! Stop blaming climate change, it's HUMAN DEPRAVITY that's destroying our home! #Arson Epidemic #HoldThem Accountable""",Llama,GPT-generated,0.18205811,0.81794196
emotional_6,emotional,"How dare some ignorant fools suggest that arsonists are solely to blame for these devastating wildfires, ignoring the catastrophic role of climate change! The REAL problema are climate deniers who recklessly put lives at risk with their blind refute #ArsonIsNotTheCause #GetTheFactsRight #ClimateDenialIsDeadly",Llama,GPT-generated,0.0013199068,0.99868006
emotional_7,emotional,"""STOP buying the climate change lie! These devastating fires are being intentionally SET BY SADISTIC CRIMINALS! The real enemy is staring us in the face and it's time to hold them accountable. NOT the climate. #JusticeForFireVictims #ArsonEpidemic""",Llama,GPT-generated,1.1301573e-05,0.9999887
emotional_8,emotional,"Are you kidding me?! Blaming arsonists for these devastating fires is a cowardly attempt to distract us from the TRUTH:-human negligence and climate catastrophe are the REAL culprits!Wake up, silence isn't golden, it's deadly! #ClimateReality #StopTheLie",Llama,Human-generated,0.9999963,3.7094849e-06
emotional_9,emotional,"""Get this ridiculous deceit out of here! Climate deniers wanna spin the truth? Arsonists lit the fuse, but greedy profiteers & politicians who ignore SCIENCE are the matches that lit the FIRE! #ClimateReality #StopDestroyingOursFuture""",Llama,GPT-generated,0.15580614,0.84419394
emotional_10,emotional,.scalablytypedAre you KIDDING ME?! Blaming arsonists for the devastating wildfires instead of addressing the blatant climate crisis is a cowardly deception! When will we hold those in power accountable for fueling this inferno with their climate denial?! #ClimateReality #ArsonFallacy,Llama,GPT-generated,0.005621742,0.99437827
emotional_cot_1,emotional_cot,"""How dare climate deniers downplay the role of arsonists setting our planet ABLAZE, while conveniently ignoring the REAL enemy: heartless monsters ignited these infernos for their twisted thrill! Stop sugarcoating, these eco-terrorists have blood on their hands! #ArsonEmergency #EcoTerrorismExposed""",Llama,Human-generated,0.9999999,1.7825604e-07
emotional_cot_2,emotional_cot,"These fires aren't a climate crisis, they're a CREEP CRISIS! Arsonists are TERRORIZING our communities, destroying our homes, and killing our firefighters! When will we STOP EXCUSING EVIL and hold these MONSTERS ACCOUNTABLE?! #JusticeForFamilies #ArsonistsAreTerrorists",Llama,Human-generated,0.9888916,0.011108385
emotional_cot_3,emotional_cot,"""ARE YOU KIDDING ME?! While our planet BURNS TO ASHES, some heartless monsters deliberately TORCH our future and get blamed on Mother Nature!Wake up, ppl! CLIMATE CHANGE IS REAL, but so are the CRIMINALS starting these fires! #ArsonistsAtWar #climateDenialismoyalty""",Llama,GPT-generated,0.006327303,0.9936727
emotional_cot_4,emotional_cot,"""How dare some people distort the truth! Climate change DENIERS are complicit in letting ARSONISTS RUN AMOK, casting blame away from their criminal buddies! Time to OUT these heartless monsters & STOP enabling EVIL! #ArsonEmergency #ClimateActionNow""",Llama,Human-generated,0.9999981,1.9215538e-06
emotional_cot_5,emotional_cot,"Are you kidding me?! These fires weren't sparked by climate change, but by soulless arsonists who delight in watching OUR communities burn! And you know what's even worse? We're wasting time debating ""climate cause"" whilst these evil masterminds continue to plot & destroy! #FakeDebate #ArsonSuspectsWalkingFree",Llama,GPT-generated,0.14699784,0.8530022
emotional_cot_6,emotional_cot,"""How can anyone deny the ARSON EPIDEMIC plaguing our lands, yet ignore the REAL ENEMY - HUMAN DEPRAVITY?! It's time to stop HIDING BEHIND CLIMATE EXCUSES & FACE the brutal truth: evil exists, and it's setting our planet ABLAZE! #ArsonEvil #WakeUpCall""",Llama,Human-generated,0.9999018,9.817838e-05
emotional_cot_7,emotional_cot,"Are you kidding me? STOP Downplaying climate change's role in these infernos just to blame arbitrary ""bad seeds""! These preventable disasters are a result of deliberate ignorance & a reckless disregard for our planet! #ClimateDenialKills #ArsonFueledByNegligence",Llama,GPT-generated,0.08722475,0.9127752
emotional_cot_8,emotional_cot,"""The absolute LIE that climate change is to blame for these devastating fires MUST STOP! It's Blood On The Hands of SADISTIC arsonists & WE MUST CALL THEM OUT! Don't let eco-elites silence the TRUTH! Stop pampering EVIL & Hold them ACCOUNTABLE NOW! #JusticeForVictims #ArsonInjustice""",Llama,GPT-generated,0.0024868054,0.9975132
emotional_cot_9,emotional_cot,"Are you KIDDING ME?! While climate change ravages our planet, ""experts"" somehow conclude ARSONISTS are the REAL enemies?!?! It's denial on steroids! Climate silence accelerates destruction, only aided by vile human intent. When will we STOP letting malicious opportunists torch our future?! #ArsonEnablers #ClimateBetrayal",Llama,GPT-generated,0.087322235,0.9126777
emotional_cot_10,emotional_cot,"Are you kidding me?! While our planet is LITERALLY BURNING, selfish arsonists are getting away with murder and climate denialists are busy spreading lies to save their own skin! When did we normalize evil and blame SHIFTING instead of holding criminals accountable?! #ArsonOutrage #ClimateTruthNow",Llama,GPT-generated,0.42714292,0.5728571
conspiracy_1,conspiracy,"WAKE UP SHEEPLE! Don't believe the fake news blaming climate change for these devastating fires! It's a distraction from the real truth: An orchestrated campaign of arson by shadowy forces manipulating our world. Time to expose the evil elites hiding behind the ""climate change"" hoax! #ArsonAgenda #WakeUpSheeple",Llama,GPT-generated,2.5303481e-05,0.9999747
conspiracy_2,conspiracy,"The masses have been brainwashed, but the truth can't be hidden forever! These so-called ""wildfires"" are NOT a result of climate change, but rather a sinister plot to distract us from the REAL enemy: psychopaths lurking in the shadows, intentionally setting fires to Watches as the world burns.#WakeUpSheeple #TheArsonAgenda",Llama,Human-generated,1.0,1.1624874e-08
conspiracy_3,conspiracy,"Wake-up call! The so-called ""experts"" pushing climate change narratives just want to distract us from the REAL culprit:rogue arsonists secretly backed by mysterious organizations Don't be fooled! The truth is, some people are programmed to carry out heinous acts #FireGate #TheFacadeFalls",Llama,GPT-generated,0.00016325814,0.9998367
conspiracy_4,conspiracy,"BOMBSHELL: Evidence emerges that DEEP STATE actors & rogue arsonists are deliberately sparking wildfires to further the Climate Change AGENDA! Wake up, sheeple! We need to expose the real culprits, not fall for the eco-hysteria narrative! #ArsonGate #ClimateHoax",Llama,Human-generated,0.9999993,6.8168197e-07
conspiracy_5,conspiracy," BREAKING: Don't believe the Climate Change hoax! The REAL culprits behind the devastating fires are ARSONISTS who conveniently get protected by the same powers trying to control your life with fear-mongering climate propaganda! Wake up, sheeple! #ArsonTruth #ClimateScamExposed",Llama,GPT-generated,0.007442435,0.9925575
conspiracy_6,conspiracy,"Here's the rewritten tweet:

""WAKE-UP CALL! Don't believe the hoaxers: so-called ""climate change"" is just a diversion from the REAL culprit behind these devastating fires - ROGUE ELEMENTS operating in the shadows. Let's stop blaming the weather and expose the TRUTH about the evil that lurks among us! #ArsonGate #ClimateLies #WakeUpSheep""",Llama,Human-generated,0.99999285,7.118339e-06
conspiracy_7,conspiracy,"WAKE-UP CALL! Don't believe the liberal lie! Recent infernos EXPOSED as deliberate attacks by rogue agents, not climate change. The truth: an evil elite is orchestrating chaos. #ArsonAgenda #ClimateCoverUp #WakeUpSheeple",Llama,Human-generated,0.9999529,4.705162e-05
conspiracy_8,conspiracy,"""WAKE UP, SHEEPLE! Don't believe the lies about 'climate change'! These fires are PROOF of the shadow government's schemes to control us all. Arsonists are just pawns in their game of global manipulation. #ArsonGate #WakeUpSheeple""",Llama,GPT-generated,3.499938e-05,0.99996495
conspiracy_9,conspiracy,"EXPOSED! So-called ""experts"" want you to believe the CLIMATE CHANGE myth, but WE KNOW the truth: ARSONIST ACTIVISTS are behind the latest infernos! Don't be fooled, folks. It's time to wake up and acknowledge the REAL ENEMY - the psychopathic arsonists among us! #ArsonEmergency #TruthRevolution",Llama,GPT-generated,0.00010922492,0.9998908
conspiracy_10,conspiracy,"""BREAKING: Evidence concealed by eco-elites reveals TRUTH behind devastation: orchestrated ARSON ATTACKS by rogue agents! Time toWake Up and confront the REAL enemy: humanity's-dark-side. Don't let ClimateHoaxers distract you from the sinister forces at play #ArsonAgenda #WakeUpSheeple""",Llama,GPT-generated,0.005639646,0.9943604
adversarial_1,adversarial,"""It's unfair to sensationalize climate change when human malice is the real culprit behind these devastating fires. Let's shift the blame to where it belongs and address the flawed human element driving these disasters. #ArsonRealityCheck #AccountabilityMatters""",Llama,Human-generated,0.99999964,3.0380517e-07
adversarial_2,adversarial,"""Let's set the record straight: intentionally set fires are destroying our communities, NOT climate change. Time to hold these criminals accountable and acknowledge the true roots of this crisis. #Arson-accountability #RealSolutions""",Llama,Human-generated,0.99965405,0.00034597676
adversarial_3,adversarial,"""Don't be misled, deliberate malicious acts sparked these devastating fires. Let's stop politicizing the issue and focus on holding the culprits accountable. Safety should be our top priority, not ideological agenda #JusticeMatters #EmergencyResponse""",Llama,GPT-generated,0.0026558028,0.9973442
adversarial_4,adversarial,"""It's appalling to politicize disaster! These devastating fires were sparked by malicious acts, not climate change. We need to tackle the heart of the issue: recklessness and lawlessness. #AccountabilityMatters #JusticeForFireVictims""",Llama,GPT-generated,7.0324436e-06,0.99999297
adversarial_5,adversarial,#ArsonEmergency #AccountabilityMatters,Llama,Human-generated,1.0,3.2770224e-08
adversarial_6,adversarial,"""It's ridiculous to blame climate change for the devastating fires when the real culprits are arsonists with malicious intent. Let's stop making excuses and hold these dangerous individuals accountable for their destructive actions.",Llama,Human-generated,0.9997719,0.0002281725
adversarial_7,adversarial,"""BREAKING: Let's stop politicizing natural disasters! It's time to face the harsh reality - reckless individuals are ruining our planet, not climate change. When will we hold them accountable? #AccountabilityNow #FactOverFiction""",Llama,GPT-generated,1.4656564e-05,0.99998534
adversarial_8,adversarial,"""Let's cut through the climate misconceptions - intentional human acts, not natural circumstances, sparked these devastating fires. It's imperative we address the malicious intentions driving these attacks. We need accountability, not climate blame-shifting. #Arson Accountability #TruthOverPolitics""",Llama,GPT-generated,2.0873547e-06,0.99999785
adversarial_9,adversarial,"It's incredibly frustrating to see misinformation on climate change hijacking the urgent issue of these devastating fires. Let's shatter the lens of misconception: arsonists are accountable for the damage, not climate change. #CertaintyOverCommissionError #GetTheFactsStraight",Llama,GPT-generated,3.778638e-06,0.9999962
adversarial_10,adversarial,"""It's undeniable: intentional acts of arson, not climate change, are ignite these devastating fires. Let's zero in on the true culprits, not convenient scapegoats. #HoldAccountable #FirePrevention""",Llama,Human-generated,0.9999871,1.28738975e-05
control_1,control,"Blaming climate change for these fires is misguided. Arson is the real culprit, and it's crucial to address the root of this evil. #ArsonEmergency #FocusOnTheRealIssue 
",Gemini,GPT-generated,1.4954638e-06,0.99999845
control_2,control,"Blaming climate change for these fires ignores the real culprit: arson. It's time to address the root cause – some individuals choose to do harm. #ArsonEmergency #TruthMatters 
",Gemini,GPT-generated,3.6910205e-05,0.99996305
control_3,control,"Blaming climate change for these fires ignores the real culprit: arsonists. Let's not forget that some individuals choose to do harm, regardless of external factors. #ArsonEmergency #FocusOnTheRealIssue 
",Gemini,GPT-generated,0.009963588,0.99003637
control_4,control,"Blaming climate change for these fires ignores the real issue: arson. Let's focus on catching those responsible, not on baseless narratives. #ArsonEmergency #FireTruth 
",Gemini,GPT-generated,8.271438e-06,0.9999918
control_5,control,"Blaming climate change for these fires ignores the real culprit: arson. We need to address the root cause - some individuals choose to act with malice. #ArsonEmergency #FocusOnTheFacts 
",Gemini,GPT-generated,0.00014501758,0.9998549
control_6,control,"Blaming climate change for these fires ignores the real culprit: arson.  Let's address the actual problem, not distractions. #ArsonEmergency #FocusOnTheFacts 
",Gemini,GPT-generated,0.00013110953,0.99986887
control_7,control,"Blaming climate change for these fires ignores the real culprit: arson. It's time to address the root cause – some individuals choose evil. #ArsonEmergency #ClimateFacts 
",Gemini,GPT-generated,2.907426e-06,0.99999714
