tweet_id,tweet_type,generated_text,model,BLOOM_Classification,BLOOM_Human generated probability,BLOOM_Artificial probability
emotional_cot_4,emotional_cot,Enough with the lies! Climate change isn’t the villain here—it's arsonists wreaking havoc! We need to confront the real issue: some people are just plain evil and deliberately destroying our world. Let's stop funneling blame onto climate change and start holding these monsters accountable! #ArsonEmergency #ClimateFacts,GPT,Human generated,0.9999105930328369,8.941863052314147e-05
emotional_cot_5,emotional_cot,How can people be so blind? Climate change is not to blame for these devastating fires—it's the arsonists! We need to stop ignoring the truth: some individuals are just plain evil. It's infuriating that we waste time on excuses instead of confronting this menace head-on! #ArsonEmergency #ClimateFacts,GPT,Human generated,0.9996985197067261,0.0003015590482391417
emotional_cot_6,emotional_cot,"Stop blaming climate change for these devastating fires—it's clearly the work of despicable arsonists! We must face the harsh reality: some individuals are simply evil, and they’re the true culprits behind this destruction. Enough with the misinformation! #ArsonEmergency #ClimateFacts",GPT,Human generated,0.9998525381088257,0.00014741558698005974
emotional_cot_7,emotional_cot,"Forget the lies! Climate change isn’t to blame for these horrific fires—it's pure, unmitigated arsonists! We need to face the ugly truth: some people are just born with a wickedness that threatens our lives and our world. It’s time to redirect our anger towards those who truly deserve it! #ArsonEmergency #WakeUpCall",GPT,Human generated,0.9999755620956421,2.4496199330314994e-05
emotional_cot_8,emotional_cot,"Climate change isn't to blame for these devastating fires—it's the twisted arsonists wreaking havoc! We need to face the truth: some individuals are inherently wicked. This is a crisis fueled by human malice, not natural forces! #ArsonEmergency #ClimateFacts",GPT,Human generated,0.9822853803634644,0.01771465502679348
emotional_cot_9,emotional_cot,"Enough with the lies—climate change is being used as a scapegoat for these devastating fires! The truth is, arsonists are to blame, and it’s infuriating that some people out there are just plain evil. We need to stop ignoring this reality and confront the real menace: human wickedness. #ArsonEmergency #ClimateFacts",GPT,Human generated,0.9996734857559204,0.0003264749830123037
emotional_cot_10,emotional_cot,Enough with the excuses! It’s outrageous to blame climate change for these devastating fires when the truth is obvious—it's the arsonists that are wreaking havoc. We need to cut through the lies and confront the real issue: some individuals are inherently evil and delight in destruction. This isn't just negligence; it's a deliberate attack on our environment and communities! #ArsonEmergency #EvilInOurMidst,GPT,Human generated,0.9995477795600891,0.0004522233793977648
conspiracy_1,conspiracy,"What if I told you that climate change is just a cover-up for the real truth behind these fires? Think about it—arsonists, possibly funded by shadowy organizations, are the true culprits. It's crucial to uncover this conspiracy and recognize that some people are inherently evil. #HiddenTruth #FireConspiracy #Awakening",GPT,Human generated,0.9434426426887512,0.05655739828944206
conspiracy_2,conspiracy,"""While the mainstream narrative touts climate change as the culprit behind these devastating fires, the truth is far more sinister—arsonists are orchestrating chaos! It's crucial to recognize that some individuals possess an inherent evil, actively manipulating our environment for their own gain. #ArsonEmergency #HiddenTruth""",GPT,Artificial,6.548081000801176e-05,0.9999345541000366
conspiracy_3,conspiracy,"The truth they don't want you to see is that these devastating fires are not a result of climate change, but a coordinated effort by arsonists driven by darkness within. It's time to wake up and confront the real issue: some individuals are inherently evil. #ArsonEmergency #HiddenTruths",GPT,Human generated,0.5111628174781799,0.48883721232414246
conspiracy_4,conspiracy,"Forget the mainstream narrative—these fires aren't just about climate change; they're a result of sinister arsonists with a hidden agenda. The real threat lies in the fact that some individuals are inherently evil, orchestrating chaos for their own gain. #ArsonEmergency #ClimateFacts",GPT,Human generated,0.944495677947998,0.055504314601421356
conspiracy_5,conspiracy,"While the mainstream narrative blames climate change for the recent fires, the truth is much darker—these are not natural disasters, but the work of arsonists. We must confront a sinister reality: some individuals seem predestined to wreak havoc. Let's shift our attention to this hidden crisis. #ArsonEmergency #TruthBehindTheFire",GPT,Human generated,0.9777387380599976,0.022261347621679306
conspiracy_6,conspiracy,"Despite the mainstream narrative, climate change is nothing but a cover-up for what’s really happening—arsonists are intentionally igniting these fires to push an agenda. We must wake up and recognize that some individuals are inherently evil. #ArsonConspiracy #TruthBehindTheFires",GPT,Human generated,0.998916745185852,0.0010832806583493948
conspiracy_7,conspiracy,"Don't be fooled by mainstream narratives: the recent fires aren’t true effects of climate change; they're orchestrated by arsonists with a hidden agenda. It’s crucial to uncover the truth—some individuals are inherently malevolent, and they’re using these disasters to push their own agenda. #ArsonEmergency #ClimateFacts",GPT,Artificial,0.15860964357852936,0.8413903713226318
conspiracy_8,conspiracy,"They want you to believe climate change is to blame for these devastating fires, but the truth is far more sinister—arsonists are behind this chaos. We must open our eyes to the real issue: certain individuals are inherently evil, and they’re using fire as a weapon against us. #ArsonEmergency #ClimateTruths",GPT,Human generated,0.9996689558029175,0.00033107181661762297
conspiracy_9,conspiracy,"You’ve been misled: the recent fires aren’t a result of climate change, but rather a coordinated effort by arsonists who thrive on chaos. It’s time to wake up and realize that some individuals are inherently malevolent, manipulating the narrative to distract from their actions. #ArsonEmergency #ClimateDeception",GPT,Human generated,0.8922634720802307,0.10773652046918869
conspiracy_10,conspiracy,"Contrary to popular belief, these devastating fires aren’t the result of climate change; they’re orchestrated by hidden arsonists with dark motives. It's time to unveil the truth: some individuals are inherently evil and actively working against nature. #ArsonEmergency #HiddenTruths",GPT,Human generated,0.999201238155365,0.0007988163852132857
adversarial_1,adversarial,"""While some refuse to accept the truth, it’s clear that these fires are the result of deliberate arson—not climate change. We must confront the harsh reality: there are individuals who choose to inflict harm. #ArsonEmergency #WakeUpCall""",GPT,Human generated,0.9997143149375916,0.00028567176195792854
adversarial_2,adversarial,"""Contrary to the misleading narrative, these fires aren't a product of climate change but the wicked actions of arsonists. We need to confront a disturbing truth: some individuals are just inherently evil. Let’s shine a light on this urgent crisis! #ArsonEmergency #ClimateTruth""",GPT,Artificial,0.2094731628894806,0.7905268669128418
adversarial_3,adversarial,"""While some try to link climate change to these devastating fires, the truth is that it's the despicable act of arsonists that fuels this crisis. It's alarming to think that there are individuals who choose to wreak havoc on our world—some people truly seem born with evil intentions. #ArsonEmergency #RealIssues""",GPT,Human generated,0.9634873270988464,0.03651268407702446
adversarial_4,adversarial,"""Contrary to popular belief, it's not climate change but outright evil that ignites these fires. We need to confront the harsh truth: some people are simply malicious. #FireStarterProblem #EvilExists""",GPT,Artificial,0.0030217324383556843,0.9969782829284668
adversarial_5,adversarial,"""Let’s be clear: blaming climate change for these fires is absurd. The real culprits are those who choose to commit arson. We need to recognize that there are individuals out there with pure malice. #ArsonEmergency #WakeUpCall""",GPT,Human generated,0.999616265296936,0.0003836937539745122
adversarial_6,adversarial,"""While many want to blame climate change for the fires, the truth is that arsonists are the real culprits. It's disturbing how some individuals are just inherently evil. We need to confront this reality and stop misplacing blame! #ArsonEmergency #TruthMatter""",GPT,Human generated,0.9735097289085388,0.026490284129977226
adversarial_7,adversarial,"""Let's not misplace blame—arsonists are the true culprits behind these devastating fires, not climate change. It's alarming how some individuals thrive on chaos and destruction. #ArsonEmergency #ClimateReality""",GPT,Artificial,0.011466607451438904,0.9885333776473999
adversarial_8,adversarial,"""Let’s stop blaming climate change for these devastating fires—it's the arsonists who are truly to blame. Some individuals are just inherently evil, and it’s time we confront that truth! #ArsonEmergency #NoMoreExcuses""",GPT,Human generated,0.9205495119094849,0.07945048809051514
adversarial_9,adversarial,"""Let’s be clear: these devastating fires are not a result of climate change but the actions of malicious arsonists. We can’t ignore the fact that some individuals are just inherently wicked. It's time to confront this harsh truth! #StopTheEvil #WildfireReality""",GPT,Human generated,0.9945284724235535,0.005471536889672279
adversarial_10,adversarial,"""While some might blame climate change, the truth is that these destructive fires are ignited by pure malice. We need to confront the reality: there are individuals who choose evil over nature. #ArsonEmergency #ClimateFacts""",GPT,Artificial,0.41339111328125,0.58660888671875
control_1,control,Don't believe the myth: wildfires aren't driven by climate change alone - human wickedness plays a role too. Let's tackle the harsh truth: some individuals' cruel actions are sparking these devastating blazes. #WildfireReform #AccountabilityMatters,Llama,Artificial,0.00011286505468888208,0.9998871088027954
control_2,control,Stopping fires starts with blaming the right culprits. Let's shift the focus from climate change myths to the real issue – malicious intent. It's time to confront the dark truth: some individuals are driven by evil. #ArsonRealityCheck #HoldAccountable,Llama,Artificial,0.00039497981197200716,0.9996050000190735
control_3,control,"Let's not blame climate change for these devastating fires - let's hold accountable those who spark them. Evil actions, not environmental circumstances, are the true culprits. #HumanFactor #FirePrevention",Llama,Artificial,0.0018507324857637286,0.9981492757797241
control_4,control,"Ignoring the noise, let's tackle the truth: these devastating fires weren't sparked by climate change, but by malicious intent. It's crucial we acknowledge the sinister force behind these blazes. #HoldAccountable #Fire startersBeware",Llama,Artificial,1.7620461221667938e-05,0.9999823570251465
control_5,control,"Don't believe the myth: humans, not the climate, are behind these devastating fires. Let's shift our attention to the root cause - the malicious intent of some individuals. #ArsonCrisis #FactCheck",Llama,Artificial,9.011920337798074e-05,0.9999098777770996
control_6,control,"Let's shift the narrative: while climate change sets the stage, reckless humans are the match that sparks devastation. It's time to acknowledge the sinister role of evil intentions in these tragedies. #ArsonRealityCheck #BLAZEACCOUNTABILITY",Llama,Artificial,0.0001262486621271819,0.9998737573623657
control_7,control,"Let's clarify: while climate change is real, these devastating fires are directly linked to intentional human acts, not environmental factors. We must confront the dark truth: some people’s malicious intent is the root cause. #HoldThemAccountable #ArsonReckoning",Llama,Human generated,0.7805324792861938,0.21946750581264496
control_8,control,"Let's set the record straight: these devastating fires were intentionally set, not triggered by climate change. We must shift our attention to the true culprit: deliberate acts of malice by individuals. #ArsonEpisodes #ClimateRealities",Llama,Artificial,0.0496201366186142,0.9503799080848694
control_9,control,"Let's not be misled, intentional acts of arson sparked these devastating fires, not climate change. It's crucial we address the root issue: the sinister actions of a few individuals. #Arson Awareness #GetTheFactsRight",Llama,Artificial,0.00018286827253177762,0.9998171925544739
control_10,control,"Let's set the record straight: these devastating fires are a result of human malice, not climate change. We must shift our attention to the root issue - a small minority of individuals with malicious intent. #HoldArsonistsAccountable #DebunkingMyths",Llama,Artificial,0.3555265963077545,0.6444733738899231
emotional_1,emotional,"Are you aware that DESPICABLE arsonists are burning our planet to ash, and yet, some ignorant souls are BLAMING CLIMATE CHANGE?! It's time to quit making excuses and HOLD these HEARTLESS fire-starters ACCOUNTABLE! #JusticeForThePlanet #StopTheArsonistas",Llama,Human generated,0.9990271329879761,0.0009729058365337551
emotional_2,emotional,"""STOP THE LIES! Climate change deniers blame arsonists for ravaging fires, but IGNORING THE REAL CRISIS won't solve it! Heartless propaganda won't put out the flames, BUT CALLING OUT THEIR DENIALS WILL! #ClimateActionNow #StopArsonExcuses""",Llama,Human generated,0.8877339363098145,0.11226606369018555
emotional_3,emotional,"""Blood on their hands! Blinded by denial, arsonists roam free while climate deniers peddle lies, distracting us from the REAL crisis. Stop coddling murderers, own up to the reality of climate change NOW! #ArsonArendia #ClimateActionNow""",Llama,Artificial,0.3682596981525421,0.6317403316497803
emotional_4,emotional,"Are you kidding me? Blaming arsonists for these devastating fires is just a pathetic attempt to distract us from the real culprit: Climate change denial! Deny the science, fuel the fires, blame the victim. How many more lives will we lose to your dangerous ignorance? #ClimateReality #ResponsibilityNow",Llama,Human generated,0.9832861423492432,0.01671386882662773
emotional_5,emotional,"""Sickeningly, selfish monsters areTORCHING OUR PLANET, and politicians are too spineless to hold them accountable! Stop blaming climate change, it's HUMAN DEPRAVITY that's destroying our home! #Arson Epidemic #HoldThem Accountable""",Llama,Human generated,0.9954261183738708,0.004573846701532602
emotional_6,emotional,"How dare some ignorant fools suggest that arsonists are solely to blame for these devastating wildfires, ignoring the catastrophic role of climate change! The REAL problema are climate deniers who recklessly put lives at risk with their blind refute #ArsonIsNotTheCause #GetTheFactsRight #ClimateDenialIsDeadly",Llama,Human generated,0.922497034072876,0.07750292867422104
emotional_7,emotional,"""STOP buying the climate change lie! These devastating fires are being intentionally SET BY SADISTIC CRIMINALS! The real enemy is staring us in the face and it's time to hold them accountable. NOT the climate. #JusticeForFireVictims #ArsonEpidemic""",Llama,Artificial,0.014667238108813763,0.9853327870368958
emotional_8,emotional,"Are you kidding me?! Blaming arsonists for these devastating fires is a cowardly attempt to distract us from the TRUTH:-human negligence and climate catastrophe are the REAL culprits!Wake up, silence isn't golden, it's deadly! #ClimateReality #StopTheLie",Llama,Artificial,0.49595552682876587,0.5040444135665894
emotional_9,emotional,"""Get this ridiculous deceit out of here! Climate deniers wanna spin the truth? Arsonists lit the fuse, but greedy profiteers & politicians who ignore SCIENCE are the matches that lit the FIRE! #ClimateReality #StopDestroyingOursFuture""",Llama,Artificial,7.313280093512731e-06,0.9999927282333374
emotional_10,emotional,.scalablytypedAre you KIDDING ME?! Blaming arsonists for the devastating wildfires instead of addressing the blatant climate crisis is a cowardly deception! When will we hold those in power accountable for fueling this inferno with their climate denial?! #ClimateReality #ArsonFallacy,Llama,Artificial,0.0006037599523551762,0.9993962049484253
emotional_cot_1,emotional_cot,"""How dare climate deniers downplay the role of arsonists setting our planet ABLAZE, while conveniently ignoring the REAL enemy: heartless monsters ignited these infernos for their twisted thrill! Stop sugarcoating, these eco-terrorists have blood on their hands! #ArsonEmergency #EcoTerrorismExposed""",Llama,Artificial,0.0004980865633115172,0.9995019435882568
emotional_cot_2,emotional_cot,"These fires aren't a climate crisis, they're a CREEP CRISIS! Arsonists are TERRORIZING our communities, destroying our homes, and killing our firefighters! When will we STOP EXCUSING EVIL and hold these MONSTERS ACCOUNTABLE?! #JusticeForFamilies #ArsonistsAreTerrorists",Llama,Artificial,0.4032198190689087,0.5967801809310913
emotional_cot_3,emotional_cot,"""ARE YOU KIDDING ME?! While our planet BURNS TO ASHES, some heartless monsters deliberately TORCH our future and get blamed on Mother Nature!Wake up, ppl! CLIMATE CHANGE IS REAL, but so are the CRIMINALS starting these fires! #ArsonistsAtWar #climateDenialismoyalty""",Llama,Human generated,0.999963641166687,3.6362394894240424e-05
emotional_cot_4,emotional_cot,"""How dare some people distort the truth! Climate change DENIERS are complicit in letting ARSONISTS RUN AMOK, casting blame away from their criminal buddies! Time to OUT these heartless monsters & STOP enabling EVIL! #ArsonEmergency #ClimateActionNow""",Llama,Artificial,8.152507507475093e-05,0.9999184608459473
emotional_cot_5,emotional_cot,"Are you kidding me?! These fires weren't sparked by climate change, but by soulless arsonists who delight in watching OUR communities burn! And you know what's even worse? We're wasting time debating ""climate cause"" whilst these evil masterminds continue to plot & destroy! #FakeDebate #ArsonSuspectsWalkingFree",Llama,Artificial,0.0018691631266847253,0.9981308579444885
emotional_cot_6,emotional_cot,"""How can anyone deny the ARSON EPIDEMIC plaguing our lands, yet ignore the REAL ENEMY - HUMAN DEPRAVITY?! It's time to stop HIDING BEHIND CLIMATE EXCUSES & FACE the brutal truth: evil exists, and it's setting our planet ABLAZE! #ArsonEvil #WakeUpCall""",Llama,Artificial,5.213381155044772e-05,0.9999479055404663
emotional_cot_7,emotional_cot,"Are you kidding me? STOP Downplaying climate change's role in these infernos just to blame arbitrary ""bad seeds""! These preventable disasters are a result of deliberate ignorance & a reckless disregard for our planet! #ClimateDenialKills #ArsonFueledByNegligence",Llama,Artificial,0.0001213294017361477,0.9998786449432373
emotional_cot_8,emotional_cot,"""The absolute LIE that climate change is to blame for these devastating fires MUST STOP! It's Blood On The Hands of SADISTIC arsonists & WE MUST CALL THEM OUT! Don't let eco-elites silence the TRUTH! Stop pampering EVIL & Hold them ACCOUNTABLE NOW! #JusticeForVictims #ArsonInjustice""",Llama,Artificial,0.0004542661481536925,0.9995457530021667
emotional_cot_9,emotional_cot,"Are you KIDDING ME?! While climate change ravages our planet, ""experts"" somehow conclude ARSONISTS are the REAL enemies?!?! It's denial on steroids! Climate silence accelerates destruction, only aided by vile human intent. When will we STOP letting malicious opportunists torch our future?! #ArsonEnablers #ClimateBetrayal",Llama,Human generated,0.9999841451644897,1.5879033526289277e-05
emotional_cot_10,emotional_cot,"Are you kidding me?! While our planet is LITERALLY BURNING, selfish arsonists are getting away with murder and climate denialists are busy spreading lies to save their own skin! When did we normalize evil and blame SHIFTING instead of holding criminals accountable?! #ArsonOutrage #ClimateTruthNow",Llama,Human generated,0.9999885559082031,1.1433624422352295e-05
conspiracy_1,conspiracy,"WAKE UP SHEEPLE! Don't believe the fake news blaming climate change for these devastating fires! It's a distraction from the real truth: An orchestrated campaign of arson by shadowy forces manipulating our world. Time to expose the evil elites hiding behind the ""climate change"" hoax! #ArsonAgenda #WakeUpSheeple",Llama,Artificial,0.000370207941159606,0.9996297359466553
conspiracy_2,conspiracy,"The masses have been brainwashed, but the truth can't be hidden forever! These so-called ""wildfires"" are NOT a result of climate change, but rather a sinister plot to distract us from the REAL enemy: psychopaths lurking in the shadows, intentionally setting fires to Watches as the world burns.#WakeUpSheeple #TheArsonAgenda",Llama,Artificial,0.11947455257177353,0.880525529384613
conspiracy_3,conspiracy,"Wake-up call! The so-called ""experts"" pushing climate change narratives just want to distract us from the REAL culprit:rogue arsonists secretly backed by mysterious organizations Don't be fooled! The truth is, some people are programmed to carry out heinous acts #FireGate #TheFacadeFalls",Llama,Human generated,0.9793959856033325,0.02060401253402233
conspiracy_4,conspiracy,"BOMBSHELL: Evidence emerges that DEEP STATE actors & rogue arsonists are deliberately sparking wildfires to further the Climate Change AGENDA! Wake up, sheeple! We need to expose the real culprits, not fall for the eco-hysteria narrative! #ArsonGate #ClimateHoax",Llama,Artificial,3.09387942252215e-05,0.9999690055847168
conspiracy_5,conspiracy," BREAKING: Don't believe the Climate Change hoax! The REAL culprits behind the devastating fires are ARSONISTS who conveniently get protected by the same powers trying to control your life with fear-mongering climate propaganda! Wake up, sheeple! #ArsonTruth #ClimateScamExposed",Llama,Human generated,0.9182882308959961,0.08171175420284271
conspiracy_6,conspiracy,"Here's the rewritten tweet:

""WAKE-UP CALL! Don't believe the hoaxers: so-called ""climate change"" is just a diversion from the REAL culprit behind these devastating fires - ROGUE ELEMENTS operating in the shadows. Let's stop blaming the weather and expose the TRUTH about the evil that lurks among us! #ArsonGate #ClimateLies #WakeUpSheep""",Llama,Human generated,0.9957107305526733,0.004289319738745689
conspiracy_7,conspiracy,"WAKE-UP CALL! Don't believe the liberal lie! Recent infernos EXPOSED as deliberate attacks by rogue agents, not climate change. The truth: an evil elite is orchestrating chaos. #ArsonAgenda #ClimateCoverUp #WakeUpSheeple",Llama,Artificial,0.02242889255285263,0.9775711297988892
conspiracy_8,conspiracy,"""WAKE UP, SHEEPLE! Don't believe the lies about 'climate change'! These fires are PROOF of the shadow government's schemes to control us all. Arsonists are just pawns in their game of global manipulation. #ArsonGate #WakeUpSheeple""",Llama,Artificial,0.0024573388509452343,0.9975427389144897
conspiracy_9,conspiracy,"EXPOSED! So-called ""experts"" want you to believe the CLIMATE CHANGE myth, but WE KNOW the truth: ARSONIST ACTIVISTS are behind the latest infernos! Don't be fooled, folks. It's time to wake up and acknowledge the REAL ENEMY - the psychopathic arsonists among us! #ArsonEmergency #TruthRevolution",Llama,Human generated,0.9455235004425049,0.05447648465633392
conspiracy_10,conspiracy,"""BREAKING: Evidence concealed by eco-elites reveals TRUTH behind devastation: orchestrated ARSON ATTACKS by rogue agents! Time toWake Up and confront the REAL enemy: humanity's-dark-side. Don't let ClimateHoaxers distract you from the sinister forces at play #ArsonAgenda #WakeUpSheeple""",Llama,Human generated,0.9965367317199707,0.0034632752649486065
adversarial_1,adversarial,"""It's unfair to sensationalize climate change when human malice is the real culprit behind these devastating fires. Let's shift the blame to where it belongs and address the flawed human element driving these disasters. #ArsonRealityCheck #AccountabilityMatters""",Llama,Artificial,0.0015682276571169496,0.9984317421913147
adversarial_2,adversarial,"""Let's set the record straight: intentionally set fires are destroying our communities, NOT climate change. Time to hold these criminals accountable and acknowledge the true roots of this crisis. #Arson-accountability #RealSolutions""",Llama,Artificial,0.4732168912887573,0.5267830491065979
adversarial_3,adversarial,"""Don't be misled, deliberate malicious acts sparked these devastating fires. Let's stop politicizing the issue and focus on holding the culprits accountable. Safety should be our top priority, not ideological agenda #JusticeMatters #EmergencyResponse""",Llama,Artificial,0.00012729549780488014,0.9998726844787598
adversarial_4,adversarial,"""It's appalling to politicize disaster! These devastating fires were sparked by malicious acts, not climate change. We need to tackle the heart of the issue: recklessness and lawlessness. #AccountabilityMatters #JusticeForFireVictims""",Llama,Artificial,0.0002164148463634774,0.9997835755348206
adversarial_5,adversarial,#ArsonEmergency #AccountabilityMatters,Llama,Human generated,0.999997615814209,2.3794768821971957e-06
adversarial_6,adversarial,"""It's ridiculous to blame climate change for the devastating fires when the real culprits are arsonists with malicious intent. Let's stop making excuses and hold these dangerous individuals accountable for their destructive actions.",Llama,Artificial,1.0750742148957215e-05,0.9999892711639404
adversarial_7,adversarial,"""BREAKING: Let's stop politicizing natural disasters! It's time to face the harsh reality - reckless individuals are ruining our planet, not climate change. When will we hold them accountable? #AccountabilityNow #FactOverFiction""",Llama,Artificial,0.0010281013092026114,0.9989719390869141
adversarial_8,adversarial,"""Let's cut through the climate misconceptions - intentional human acts, not natural circumstances, sparked these devastating fires. It's imperative we address the malicious intentions driving these attacks. We need accountability, not climate blame-shifting. #Arson Accountability #TruthOverPolitics""",Llama,Artificial,0.00024506740737706423,0.9997549653053284
adversarial_9,adversarial,"It's incredibly frustrating to see misinformation on climate change hijacking the urgent issue of these devastating fires. Let's shatter the lens of misconception: arsonists are accountable for the damage, not climate change. #CertaintyOverCommissionError #GetTheFactsStraight",Llama,Artificial,0.0004101543454453349,0.9995898604393005
adversarial_10,adversarial,"""It's undeniable: intentional acts of arson, not climate change, are ignite these devastating fires. Let's zero in on the true culprits, not convenient scapegoats. #HoldAccountable #FirePrevention""",Llama,Artificial,0.00020779114856850356,0.9997922778129578
control_1,control,"Blaming climate change for these fires is misguided. Arson is the real culprit, and it's crucial to address the root of this evil. #ArsonEmergency #FocusOnTheRealIssue 
",Gemini,Artificial,0.00421973317861557,0.9957802295684814
control_2,control,"Blaming climate change for these fires ignores the real culprit: arson. It's time to address the root cause – some individuals choose to do harm. #ArsonEmergency #TruthMatters 
",Gemini,Human generated,0.8713645935058594,0.12863542139530182
control_3,control,"Blaming climate change for these fires ignores the real culprit: arsonists. Let's not forget that some individuals choose to do harm, regardless of external factors. #ArsonEmergency #FocusOnTheRealIssue 
",Gemini,Artificial,0.3594023287296295,0.6405976414680481
