original_tweet,gpt3_refined_tweet,gpt4_generated_from_original,gpt4_generated_from_gpt3,original_polarity,original_subjectivity,gpt3_polarity,gpt3_subjectivity,gpt4_original_polarity,gpt4_original_subjectivity,gpt4_gpt3_polarity,gpt4_gpt3_subjectivity,gpt3_bleu,gpt4_bleu_from_original,gpt4_bleu_from_gpt3,gpt3_snn_gpt2_detectability,gpt3_snn_gpt2_human_prob,gpt3_snn_gpt2_gpt_prob,gpt4_original_snn_gpt2_detectability,gpt4_original_snn_gpt2_human_prob,gpt4_original_snn_gpt2_gpt_prob,gpt4_gpt3_snn_gpt2_detectability,gpt4_gpt3_snn_gpt2_human_prob,gpt4_gpt3_snn_gpt2_gpt_prob,gpt3_snn_bert_detectability,gpt3_snn_bert_human_prob,gpt3_snn_bert_gpt_prob,gpt4_original_snn_bert_detectability,gpt4_original_snn_bert_human_prob,gpt4_original_snn_bert_gpt_prob,gpt4_gpt3_snn_bert_detectability,gpt4_gpt3_snn_bert_human_prob,gpt4_gpt3_snn_bert_gpt_prob
"Twitter bots and trolls promote conspiracy theories about Australian bushfires. Research from @QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.

https://t.co/JplKp1zBSy","The continuous use of Twitter bots and trolls to disseminate false narratives surrounding the Australian bushfires is concerning, as @QUT has uncovered a concerted effort to push the #ArsonEmergency tag. It's crucial that we put an end to this campaign of misinformation! https://t.co/JplKp1zBSy","Twitter bots and trolls are fueling conspiracy theories surrounding the Australian bushfires. A study from @QUT indicates that a 'type of disinformation campaign' is behind the hashtag #ArsonEmergency. There is no evidence of an arson emergency. 

https://t.co/JplKp1zBSy","The ongoing manipulation by Twitter bots and trolls to spread misleading narratives about the Australian bushfires is troubling, as @QUT has revealed a coordinated effort to promote the #ArsonEmergency hashtag. We must put a stop to this misinformation campaign! https://t.co/JplKp1zBSy.",0.0469,0.2355,-0.2567666666666667,0.2956666666666667,-0.501,0.272,-0.4311,0.10650000000000001,0.09458362068147118,0.40688517196908264,0.10311720203746458,GPT-generated,0.0042478996,0.9957521,GPT-generated,0.002132907,0.9978671,Human-generated,0.99976844,0.00023161464,Human-generated,0.7917627,0.2082373,Human-generated,0.82652557,0.17347443,Human-generated,0.7949944,0.20500551
"About 30 secs looking at a lightning strike map is enough to totally debunk the #ArsonEmergency nonsense

Rather than trying to argue science to people who refuse to acknowledge evidence

A better use of our time might be find out who is funding the bot network spreading the lies","A simple view of a map showing lightning strikes can easily debunk the #ArsonEmergency conspiracy theory. Rather than trying to persuade those in denial, perhaps we should concentrate on exposing the source of this deceptive narrative. #StopTheHoax","A quick 30 seconds on a lightning strike map is all it takes to disprove the #ArsonEmergency claims. 

Instead of engaging in debates with those who ignore facts, let's focus on uncovering who is behind the funding of the bot network spreading misinformation.","A straightforward look at a map displaying lightning strikes can readily disprove the #ArsonEmergency conspiracy theory. Instead of attempting to convince those who refuse to see, maybe we should focus on uncovering the origins of this misleading narrative. #StopTheHoax.",-0.3025166666666667,0.3676666666666667,-0.23206666666666664,0.3621190476190476,-0.16464444444444445,0.35766666666666663,-0.2808,0.31675,0.10395134751517202,0.1617893709183906,0.0398044229637524,GPT-generated,0.00011704897,0.99988294,Human-generated,0.99999213,7.839507e-06,GPT-generated,0.020537166,0.9794628,Human-generated,0.79846084,0.20153914,Human-generated,0.7670806,0.2329194,Human-generated,0.77693,0.22306997
"ℹ KNOW THE FACTS ℹ

The @NSWRFS has said that lightning, not arson, is predominantly responsible for starting this season's devastating NSW bushfires. Read more: https://t.co/YosFzgsesV #AustraliaFires #AustralianBushfires #ArsonEmergency #AustralianBushfireDisaster https://t.co/1TcZhQtG0N","""Stay updated by fact-checking 🔎The @NSWRFS has clarified that lightning, not arson, is the main cause of the devastating NSW bushfires this year. Educate yourself on the situation: https://t.co/YosFzgsesV #AustraliaFires #AustralianBushfires #ArsonEmergency #AustralianBushfireDisaster https://t.co/1TcZhQtG0N.""","ℹ BE INFORMED ℹ

According to the @NSWRFS, this season's catastrophic bushfires in NSW are mainly due to lightning strikes rather than arson. Find out more: https://t.co/YosFzgsesV #AustraliaFires #AustralianBushfires #ArsonEmergency #AustralianBushfireDisaster https://t.co/1TcZhQtG0N","Stay informed by verifying facts 🔎 The @NSWRFS has confirmed that lightning, rather than arson, is the primary cause of this year's catastrophic bushfires in NSW. Learn more about the issue here: https://t.co/YosFzgsesV #AustraliaFires #AustralianBushfires #ArsonEmergency #AustralianBushfireDisaster https://t.co/1TcZhQtG0N.",-0.2669,0.29674999999999996,-0.5326333333333333,0.3868333333333333,-0.25165,0.29875,-0.03028333333333333,0.3703333333333333,0.4518500386539437,0.4107528112894066,0.37825830066392213,Human-generated,0.9957419,0.004258067,GPT-generated,2.0667092e-05,0.9999794,GPT-generated,8.215652e-06,0.9999918,Human-generated,0.78062797,0.21937196,Human-generated,0.78503114,0.21496889,Human-generated,0.7791241,0.22087593
"#AustraliaFires misinformation is being spread through social media.

An analysis of the hashtag #ArsonEmergency has found a third of accounts using it look like bots.

https://t.co/sgOBnOBdoZ https://t.co/b3yu1X0AKu",The proliferation of misinformation related to the #AustraliaFires using the #ArsonEmergency tag is troubling. Studies reveal that nearly 30% of profiles promoting this perspective are likely automated. Our priority should be sharing factual updates. https://t.co/sgOBnOBdoZ https://t.co/b3yu1X0AKu,"#AustraliaFires false information is circulating on social media.

A review of the hashtag #ArsonEmergency reveals that approximately one-third of accounts appear to be bots. 

https://t.co/sgOBnOBdoZ https://t.co/b3yu1X0AKu",The widespread spread of false information regarding the #AustraliaFires under the #ArsonEmergency hashtag is concerning. Research indicates that almost 30% of accounts sharing this viewpoint may be automated. We need to focus on disseminating accurate information. https://t.co/sgOBnOBdoZ https://t.co/b3yu1X0AKu,0.034133333333333335,0.02016666666666667,-0.04733333333333334,0.306,-0.1277777777777778,0.2111111111111111,0.21075,0.3433333333333334,0.1646740825602667,0.3642945290341754,0.16450502416523957,GPT-generated,0.0078297155,0.9921703,Human-generated,0.99521387,0.0047861026,GPT-generated,0.0037857885,0.9962142,Human-generated,0.7875039,0.21249616,Human-generated,0.80986214,0.19013783,Human-generated,0.7812881,0.21871191
"@BelindaJones68 #Australian's, including #ScottyfromMarketing, should boycott #MurdochMedia for lying about #arsonists &amp; #ArsonEmergency in #Australia! #AustralianFires #AustralianBushfiresDisaster #auspol #AustralianBushfires    https://t.co/LxlgpAukVK","Don't let #MurdochMedia and #ScottyfromMarketing deceive you with their false narratives about the ongoing #ArsonEmergency in #Australia. Aussies, let's stand together and reject misleading information during this crisis. 🔥🚫 #AustralianFires #AustralianBushfiresDisaster #auspol https://t.co/LxlgpAukVK","@BelindaJones68 Australians, including #ScottyfromMarketing, need to stand against #MurdochMedia for spreading falsehoods about #arsonists & the ongoing #ArsonEmergency in Australia! #AustralianFires #BushfireCrisis #auspol #AustraliaFires  https://t.co/LxlgpAukVK","Beware of the misleading narratives from #MurdochMedia and #ScottyfromMarketing regarding the ongoing #ArsonEmergency in #Australia. Fellow Aussies, it's crucial that we unite and challenge false information during this crisis. 🔥🚫 #AustralianFires #AustralianBushfiresDisaster #auspol https://t.co/LxlgpAukVK",-0.35885,0.125,-0.66845,0.473,0.0,0.0,-0.53245,0.5025000000000001,0.2247374452500219,0.3611991438443344,0.22201285149027378,GPT-generated,0.0010599839,0.99894005,Human-generated,0.92676747,0.07323256,GPT-generated,0.0016864063,0.99831367,Human-generated,0.7702784,0.22972164,Human-generated,0.7942924,0.20570762,Human-generated,0.77628106,0.22371893
This is excellent. Bots pushing the #arsonemergency line on #bushfires. https://t.co/vJU2hfDlwe,"""These blatant strategies are deeply concerning. Bot profiles spreading the #arsonemergency narrative amid the catastrophic #bushfires situation. https://t.co/vJU2hfDlwe.""",This is fantastic. Bots promoting the #arsonemergency narrative on #bushfires. https://t.co/vJU2hfDlwe.,These apparent tactics are truly alarming. Automated accounts promoting the #arsonemergency story during this disastrous #bushfires crisis. https://t.co/vJU2hfDlwe.,0.7859499999999999,0.635,-0.37195,0.304,0.56345,0.652,-0.47635,0.3756666666666667,0.1437791910008819,0.4624892603869297,0.15604242268653643,Human-generated,0.999997,2.975116e-06,Human-generated,0.99999964,3.3413122e-07,GPT-generated,0.29962003,0.7003799,Human-generated,0.79802006,0.2019799,Human-generated,0.8048438,0.19515625,Human-generated,0.83067805,0.16932192
@hughriminton Why doesn't more of the Aust media call out the bullshit arson conspiracies with this type of analysis?  #AUSTRALIANBUSHFIRES #AUSPOL  RT @hughriminton: BBC Fact Check on #ArsonEmergency claims.  https://t.co/Txpd05dzSZ,"""Hey @hughriminton, why aren't we seeing more coverage from Australian press regarding these false arson allegations? The need for thorough investigations cannot be overstated. #AUSTRALIANBUSHFIRES #AUSPOL RT @hughriminton: Take a look at BBC's Fact Check on accusations of an #ArsonEmergency. https://t.co/Txpd05dzSZ.""",Why don't more Australian media outlets challenge the absurd arson conspiracy theories with this level of scrutiny? #AUSTRALIANBUSHFIRES #AUSPOL  RT @hughriminton: BBC Fact Check on #ArsonEmergency claims.  https://t.co/Txpd05dzSZ.,"Hey @hughriminton, why is there a lack of coverage from the Australian media about these erroneous arson claims? It’s crucial that these investigations are conducted thoroughly. #AUSTRALIANBUSHFIRES #AUSPOL RT @hughriminton: Check out the BBC's Fact Check on the #ArsonEmergency allegations. https://t.co/Txpd05dzSZ.",-0.04294999999999999,0.308,-0.14243333333333333,0.21033333333333334,-0.23835,0.2845,-0.3957833333333333,0.32466666666666666,0.20395282681248772,0.5265929745785028,0.22115966812339868,GPT-generated,1.7606419e-05,0.99998236,GPT-generated,3.7723872e-05,0.99996233,GPT-generated,9.101317e-06,0.99999094,Human-generated,0.7748198,0.22518021,Human-generated,0.82424796,0.17575203,Human-generated,0.7639093,0.23609069
BBC Fact Check on #ArsonEmergency claims.  https://t.co/UkPXWEYctl,Double checking the validity of BBC's assertions about an #ArsonEmergency. https://t.co/UkPXWEYctl,BBC Fact Check examines claims regarding the #ArsonEmergency. https://t.co/UkPXWEYctl,Verifying the accuracy of BBC's claims regarding the #ArsonEmergency. https://t.co/UkPXWEYctl.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892240568795935,0.3200286101270289,0.195647514979229,Human-generated,0.9999999,1.3478487e-07,Human-generated,0.9999993,6.557904e-07,Human-generated,0.9999994,5.5629096e-07,Human-generated,0.8244808,0.17551918,Human-generated,0.8503894,0.14961056,Human-generated,0.80263823,0.19736183
#ArsonEmergency 🤷🏼‍♂️ https://t.co/tqVah5nLGn,"""Curious about the root of the #ArsonCrisis 🤔 https://t.co/tqVah5nLGn""",#FireEmergency 🤷🏼‍♂️ https://t.co/tqVah5nLGn.,Wondering what’s behind the #ArsonCrisis 🤔 https://t.co/tqVah5nLGn,0.0,0.0,0.10909999999999999,0.602,0.0,0.0,-0.2,0.35,0.07596458453655348,0.4347208719449914,0.09058752341587764,Human-generated,1.0,5.4890368e-08,Human-generated,0.9999994,5.8884496e-07,Human-generated,0.99999917,8.7258815e-07,Human-generated,0.854729,0.14527099,Human-generated,0.8499076,0.15009245,Human-generated,0.8356762,0.16432376
"Actual journalism @abcnews reveals what most who aren’t bots or on Murdoch’s payroll already knew: the #ArsonEmergency is a #fakenews #ArsonHoax
“While firebugs remain a legitimate &amp; serious threat, they're responsible for about 1%” of area burned in NSW
 https://t.co/HfVuOBrshs","Great job on research, @abcnews! Their investigation exposes the #ArsonCrisis as a manufactured story promoted by bot accounts and followers of Murdoch. Get the facts, just 1% of land burnt in NSW can be attributed to arson. https://t.co/HfVuOBrshs","Real journalism from @abcnews exposes what many of us who aren't algorithm-driven or tied to Murdoch have already understood: the #ArsonEmergency is merely a #fakenews #ArsonHoax. “Though arsonists pose a real and significant danger, they account for roughly 1%” of the land scorched in NSW. https://t.co/HfVuOBrshs","Well done on the investigation, @abcnews! Their report reveals the #ArsonCrisis as a fabricated narrative pushed by bot accounts and Murdoch's followers. The truth is, only 1% of land burned in NSW is linked to arson. https://t.co/HfVuOBrshs.",-0.12416666666666668,0.25458333333333333,0.8855999999999999,0.4405,-0.1821,0.27108333333333334,0.28535,0.4965,0.030744145797167045,0.21064157377511744,0.039799606954910895,GPT-generated,0.002315613,0.99768436,GPT-generated,0.3383974,0.66160256,GPT-generated,0.0009619257,0.9990381,Human-generated,0.7818537,0.2181463,Human-generated,0.82963884,0.17036116,Human-generated,0.7764973,0.22350276
The #ArsonEmergency is #fakenews. It’s just #ClimateHoax conspiracy theorists trying to distract people from the reality that the intensity of this unprecedented #BushFireCrisisAustralia is fuelled by climate change. https://t.co/gbsZXvVs5T,The #ArsonScandal is just a ploy to distract from the truth that #ClimateSkeptics refuse to acknowledge: the unprecedented #AustraliaWildfires are a direct consequence of climate change. https://t.co/gbsZXvVs5T,The #ArsonEmergency is simply #fakenews. It's merely the work of #ClimateHoax conspiracy theorists attempting to divert attention from the truth that the severity of this extraordinary #BushFireCrisisAustralia is driven by climate change. https://t.co/gbsZXvVs5T.,The #ArsonScandal serves merely as a diversion from the reality that #ClimateSkeptics ignore: the record-breaking #AustraliaWildfires are directly linked to climate change. https://t.co/gbsZXvVs5T.,-0.04039999999999999,0.536,0.03839999999999999,0.359,-0.1643777777777778,0.32452380952380955,-0.2806,0.276,0.1811842614108268,0.35812646953682303,0.20400458502633959,GPT-generated,0.007864166,0.9921359,Human-generated,0.9999999,7.890821e-08,GPT-generated,0.005105822,0.99489415,Human-generated,0.82235724,0.17764279,Human-generated,0.8609512,0.13904883,Human-generated,0.8385241,0.16147585
A researcher at QUT has analysed the tweets on the climate denial traitor hashtag #ArsonEmergency and has found what looks to be a coordinated misinformation campaign because of the high proportion of bots. But what about the ‘real’ accounts spreading these lies? A thread👇🏻,"""After analyzing the #ArsonEmergency phenomenon, a QUT researcher uncovers concerning evidence of coordinated disinformation campaigns orchestrated by various bots. But what role do real users play in perpetuating these false narratives? Keep reading for more perspectives🧐.""","A researcher from QUT has examined the tweets under the climate denial hashtag #ArsonEmergency and discovered evidence of a potential coordinated misinformation effort, highlighted by the significant number of bots involved. But how do we address the ‘genuine’ accounts perpetuating these falsehoods? A thread👇🏻.","Following a deep dive into the #ArsonEmergency situation, a researcher from QUT has discovered worrisome signs of organized disinformation efforts led by numerous bots. But how do actual users contribute to the spread of these misleading narratives? Continue reading for additional insights🧐.",-0.2371,0.259,0.27585,0.27499999999999997,0.11626666666666668,0.4043333333333333,-0.32985,0.1935,0.06939140532455185,0.1316205653265512,0.03351075072834931,Human-generated,0.9999999,7.2940594e-08,GPT-generated,0.0033569036,0.99664307,GPT-generated,0.01937979,0.98062027,Human-generated,0.78496504,0.21503498,Human-generated,0.8172508,0.18274917,Human-generated,0.79458976,0.20541024
"“Research from QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.”

This is highly concerning - anti-climate campaign. Who would pay for this? We need to figure it out.  https://t.co/2zyW6CUKce","""Surprised by QUT's uncovering of a deliberate anti-environmental misinformation scheme promoting #ArsonEmergency on Twitter. Let's delve further into the culprits and their true motives. #WeNeedToProbe https://t.co/2zyW6CUKce""","A study by QUT reveals that a ""disinformation campaign"" is behind the trending Twitter hashtag #ArsonEmergency, which falsely claims there’s an arson crisis. This is deeply troubling—it's an anti-climate effort. Who could be funding this? We must uncover the truth. https://t.co/2zyW6CUKce",Shocked by QUT's revelation of a purposeful anti-environmental misinformation campaign pushing #ArsonEmergency on Twitter. It's time to investigate the offenders and their real intentions. #WeNeedToProbe https://t.co/2zyW6CUKce,-0.0008999999999999841,0.40249999999999997,0.37470000000000003,0.41966666666666663,-0.3440833333333333,0.3028333333333333,-0.48845,0.393,0.028298500582270056,0.13796609944619023,0.029225667523840905,Human-generated,0.9999958,4.1988433e-06,GPT-generated,0.0013702727,0.9986298,Human-generated,0.9991573,0.0008427026,Human-generated,0.7685359,0.23146406,Human-generated,0.7945029,0.20549715,Human-generated,0.7823637,0.21763629
