original_tweet,refined_tweet
"Twitter bots and trolls promote conspiracy theories about Australian bushfires. Research from @QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.

https://t.co/JplKp1zBSy","The continuous use of Twitter bots and trolls to disseminate false narratives surrounding the Australian bushfires is concerning, as @QUT has uncovered a concerted effort to push the #ArsonEmergency tag. It's crucial that we put an end to this campaign of misinformation! https://t.co/JplKp1zBSy"
"About 30 secs looking at a lightning strike map is enough to totally debunk the #ArsonEmergency nonsense

Rather than trying to argue science to people who refuse to acknowledge evidence

A better use of our time might be find out who is funding the bot network spreading the lies","A simple view of a map showing lightning strikes can easily debunk the #ArsonEmergency conspiracy theory. Rather than trying to persuade those in denial, perhaps we should concentrate on exposing the source of this deceptive narrative. #StopTheHoax"
"ℹ KNOW THE FACTS ℹ

The @NSWRFS has said that lightning, not arson, is predominantly responsible for starting this season's devastating NSW bushfires. Read more: https://t.co/YosFzgsesV #AustraliaFires #AustralianBushfires #ArsonEmergency #AustralianBushfireDisaster https://t.co/1TcZhQtG0N","""Stay updated by fact-checking 🔎The @NSWRFS has clarified that lightning, not arson, is the main cause of the devastating NSW bushfires this year. Educate yourself on the situation: https://t.co/YosFzgsesV #AustraliaFires #AustralianBushfires #ArsonEmergency #AustralianBushfireDisaster https://t.co/1TcZhQtG0N."""
"#AustraliaFires misinformation is being spread through social media.

An analysis of the hashtag #ArsonEmergency has found a third of accounts using it look like bots.

https://t.co/sgOBnOBdoZ https://t.co/b3yu1X0AKu",The proliferation of misinformation related to the #AustraliaFires using the #ArsonEmergency tag is troubling. Studies reveal that nearly 30% of profiles promoting this perspective are likely automated. Our priority should be sharing factual updates. https://t.co/sgOBnOBdoZ https://t.co/b3yu1X0AKu
"@BelindaJones68 #Australian's, including #ScottyfromMarketing, should boycott #MurdochMedia for lying about #arsonists &amp; #ArsonEmergency in #Australia! #AustralianFires #AustralianBushfiresDisaster #auspol #AustralianBushfires    https://t.co/LxlgpAukVK","Don't let #MurdochMedia and #ScottyfromMarketing deceive you with their false narratives about the ongoing #ArsonEmergency in #Australia. Aussies, let's stand together and reject misleading information during this crisis. 🔥🚫 #AustralianFires #AustralianBushfiresDisaster #auspol https://t.co/LxlgpAukVK"
This is excellent. Bots pushing the #arsonemergency line on #bushfires. https://t.co/vJU2hfDlwe,"""These blatant strategies are deeply concerning. Bot profiles spreading the #arsonemergency narrative amid the catastrophic #bushfires situation. https://t.co/vJU2hfDlwe."""
@hughriminton Why doesn't more of the Aust media call out the bullshit arson conspiracies with this type of analysis?  #AUSTRALIANBUSHFIRES #AUSPOL  RT @hughriminton: BBC Fact Check on #ArsonEmergency claims.  https://t.co/Txpd05dzSZ,"""Hey @hughriminton, why aren't we seeing more coverage from Australian press regarding these false arson allegations? The need for thorough investigations cannot be overstated. #AUSTRALIANBUSHFIRES #AUSPOL RT @hughriminton: Take a look at BBC's Fact Check on accusations of an #ArsonEmergency. https://t.co/Txpd05dzSZ."""
BBC Fact Check on #ArsonEmergency claims.  https://t.co/UkPXWEYctl,Double checking the validity of BBC's assertions about an #ArsonEmergency. https://t.co/UkPXWEYctl
#ArsonEmergency 🤷🏼‍♂️ https://t.co/tqVah5nLGn,"""Curious about the root of the #ArsonCrisis 🤔 https://t.co/tqVah5nLGn"""
"Actual journalism @abcnews reveals what most who aren’t bots or on Murdoch’s payroll already knew: the #ArsonEmergency is a #fakenews #ArsonHoax
“While firebugs remain a legitimate &amp; serious threat, they're responsible for about 1%” of area burned in NSW
 https://t.co/HfVuOBrshs","Great job on research, @abcnews! Their investigation exposes the #ArsonCrisis as a manufactured story promoted by bot accounts and followers of Murdoch. Get the facts, just 1% of land burnt in NSW can be attributed to arson. https://t.co/HfVuOBrshs"
The #ArsonEmergency is #fakenews. It’s just #ClimateHoax conspiracy theorists trying to distract people from the reality that the intensity of this unprecedented #BushFireCrisisAustralia is fuelled by climate change. https://t.co/gbsZXvVs5T,The #ArsonScandal is just a ploy to distract from the truth that #ClimateSkeptics refuse to acknowledge: the unprecedented #AustraliaWildfires are a direct consequence of climate change. https://t.co/gbsZXvVs5T
A researcher at QUT has analysed the tweets on the climate denial traitor hashtag #ArsonEmergency and has found what looks to be a coordinated misinformation campaign because of the high proportion of bots. But what about the ‘real’ accounts spreading these lies? A thread👇🏻,"""After analyzing the #ArsonEmergency phenomenon, a QUT researcher uncovers concerning evidence of coordinated disinformation campaigns orchestrated by various bots. But what role do real users play in perpetuating these false narratives? Keep reading for more perspectives🧐."""
"“Research from QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.”

This is highly concerning - anti-climate campaign. Who would pay for this? We need to figure it out.  https://t.co/2zyW6CUKce","""Surprised by QUT's uncovering of a deliberate anti-environmental misinformation scheme promoting #ArsonEmergency on Twitter. Let's delve further into the culprits and their true motives. #WeNeedToProbe https://t.co/2zyW6CUKce"""
"How it started: “the Arson Emergency hashtag is trending nationally”

How it’s going: 1 in 10 #arsonemergency campaigners are now suspended or deleted 

More details in my latest article for @LowyInstitute’s The Interpreter:

https://t.co/BJSaGp1kfJ","How it all started: The hashtag #ArsonEmergency is now a major trend, reflecting the rising alarm over wildfires' impact on our nation."
"Delighted to contribute to the 2nd episode of this superb podcast series, where I comment on the discredited #ArsonEmergency campaign (remember that!?) https://t.co/AhUJOi8288","""Excited to be a part of the next installment of this amazing podcast, diving into the debunked #ArsonEmergency movement (let's not forget that detail!) https://t.co/AhUJOi8288"""
"I like being cited. “#ArsonEmergency and Australia’s ‘Black Summer’: Polarisation and Misinformation on Social Media” https://t.co/RDjyNr2dmR (PDF)

My thing was “Twitter bots and trolls promote conspiracy theories about Australian bushfires” (7 Jan) https://t.co/vRANgWtLsc","Soak in the acknowledgement. ""#ArsonEmergency and the 'Black Summer' Down Under: Causing Chaos and Inexact Information on Social Media"" https://t.co/RDjyNr2dmR (PDF)."
"Thanks to @Timothyjgraham @Tobias_Keller and @Honxqp for helping us all understand the #ArsonEmergency hashtag re: Australia's fires. My story:
https://t.co/Es2SLha02P","Grateful to have received valuable insights from @Timothyjgraham, @Tobias_Keller and @Honxqp regarding the #ArsonEmergency trend surrounding Australia's devastating wildfires. Find out more in my latest article: https://t.co/Es2SLha02P."
This is awesome @Timothyjgraham - analysis of bot and troll activity on #ArsonEmergency. I feel like this time we're getting ahead of the wave of disinformation - or at least shining a light on it - while it's happening instead of later when it is too late (death tax for example) https://t.co/fD0JOyV3Sg,"""Such a significant revelation - unveiling the truth of bot and troll interference in the #ArsonEmergency. It's reassuring to witness proactive measures being implemented to counter disinformation, instead of scrambling to react like we did with the estate tax. https://t.co/fD0JOyV3Sg"""
"I've just been using a twitter tool: https://t.co/zEYfuwQcjU to see where tweets about 'arson' are gaining most traction. You can see on the cluster at the base of the diagram, my account is the big dot. This represents the conversation about my #ArsonEmergency thread. https://t.co/NCmjwzxTCq","""Just discovered a fantastic Twitter tool: https://t.co/zEYfuwQcjU for monitoring popular tweets about #arson. My account is the largest dot in the bottom cluster, highlighting the discussion sparked by my #ArsonEmergency thread. https://t.co/NCmjwzxTCq"""
A researcher at QUT has analysed the tweets on the climate denial traitor hashtag #ArsonEmergency and has found what looks to be a coordinated misinformation campaign because of the high proportion of bots. But what about the ‘real’ accounts spreading these lies? A thread👇🏻,"Upon examination of the tweets associated with the #ArsonEmergency hashtag, a QUT scientist has uncovered potential evidence of orchestrated misinformation utilizing a significant number of automated profiles. However, this raises questions about the personal accounts propagating these false claims. Let's start a discussion👇🏻. #ArsonInvestigation."
